"GO.ID","Term","Annotated","Significant","Expected","classicFisher","p_adjust_FDR","p_adjust_Bonferroni"
"GO:0015991","ATP hydrolysis coupled proton transport",15,2,0.18,0.01385,0.536314615384615,1
"GO:0090662","ATP hydrolysis coupled transmembrane tra...",15,2,0.18,0.01385,0.536314615384615,1
"GO:0006950","response to stress",457,11,5.6,0.01677,0.639546818181818,1
"GO:0046034","ATP metabolic process",46,3,0.56,0.01782,0.669446865671642,1
"GO:0009144","purine nucleoside triphosphate metabolic...",47,3,0.58,0.01888,0.678870857142857,1
"GO:0009199","ribonucleoside triphosphate metabolic pr...",47,3,0.58,0.01888,0.678870857142857,1
"GO:0009205","purine ribonucleoside triphosphate metab...",47,3,0.58,0.01888,0.678870857142857,1
"GO:0007307","eggshell chorion gene amplification",18,2,0.22,0.01972,0.698117916666667,1
"GO:0009141","nucleoside triphosphate metabolic proces...",48,3,0.59,0.01997,0.698117916666667,1
"GO:0009126","purine nucleoside monophosphate metaboli...",50,3,0.61,0.02226,0.757140810810811,1
"GO:0009167","purine ribonucleoside monophosphate meta...",50,3,0.61,0.02226,0.757140810810811,1
"GO:0042278","purine nucleoside metabolic process",51,3,0.62,0.02345,0.7764945,1
"GO:0046128","purine ribonucleoside metabolic process",51,3,0.62,0.02345,0.7764945,1
"GO:0006277","DNA amplification",20,2,0.24,0.02411,0.7764945,1
"GO:0009123","nucleoside monophosphate metabolic proce...",52,3,0.64,0.02468,0.7764945,1
"GO:0009161","ribonucleoside monophosphate metabolic p...",52,3,0.64,0.02468,0.7764945,1
"GO:1901137","carbohydrate derivative biosynthetic pro...",52,3,0.64,0.02468,0.7764945,1
"GO:0009119","ribonucleoside metabolic process",53,3,0.65,0.02595,0.806372222222222,1
"GO:0006812","cation transport",57,3,0.7,0.03135,0.950698192771084,1
"GO:0009116","nucleoside metabolic process",57,3,0.7,0.03135,0.950698192771084,1
"GO:0009150","purine ribonucleotide metabolic process",58,3,0.71,0.03279,0.970969764705882,1
"GO:1901657","glycosyl compound metabolic process",58,3,0.71,0.03279,0.970969764705882,1
"GO:0071897","DNA biosynthetic process",24,2,0.29,0.03398,0.979913863636364,1
"GO:0006163","purine nucleotide metabolic process",59,3,0.72,0.03426,0.979913863636364,1
"GO:0009259","ribonucleotide metabolic process",59,3,0.72,0.03426,0.979913863636364,1
"GO:0019693","ribose phosphate metabolic process",60,3,0.73,0.03577,1,1
"GO:0072521","purine-containing compound metabolic pro...",61,3,0.75,0.03731,1,1
"GO:0035166","post-embryonic hemopoiesis",26,2,0.32,0.0394,1,1
"GO:0035167","larval lymph gland hemopoiesis",26,2,0.32,0.0394,1,1
"GO:0043065","positive regulation of apoptotic process",30,2,0.37,0.05116,1,1
"GO:0044772","mitotic cell cycle phase transition",117,4,1.43,0.05253,1,1
"GO:0006811","ion transport",71,3,0.87,0.05455,1,1
"GO:0044770","cell cycle phase transition",120,4,1.47,0.05672,1,1
"GO:0009303","rRNA transcription",5,1,0.06,0.05979,1,1
"GO:1903321","negative regulation of protein modificat...",5,1,0.06,0.05979,1,1
"GO:1904666","regulation of ubiquitin protein ligase a...",5,1,0.06,0.05979,1,1
"GO:0048542","lymph gland development",34,2,0.42,0.06402,1,1
"GO:0009117","nucleotide metabolic process",76,3,0.93,0.06439,1,1
"GO:0006753","nucleoside phosphate metabolic process",77,3,0.94,0.06645,1,1
"GO:0007259","JAK-STAT cascade",35,2,0.43,0.06739,1,1
"GO:0097696","STAT cascade",35,2,0.43,0.06739,1,1
"GO:0055085","transmembrane transport",79,3,0.97,0.07067,1,1
"GO:0032436","positive regulation of proteasomal ubiqu...",6,1,0.07,0.07133,1,1
"GO:0043248","proteasome assembly",6,1,0.07,0.07133,1,1
"GO:0051438","regulation of ubiquitin-protein transfer...",6,1,0.07,0.07133,1,1
"GO:1900117","regulation of execution phase of apoptos...",6,1,0.07,0.07133,1,1
"GO:1901800","positive regulation of proteasomal prote...",6,1,0.07,0.07133,1,1
"GO:0055086","nucleobase-containing small molecule met...",83,3,1.02,0.07945,1,1
"GO:0002181","cytoplasmic translation",84,3,1.03,0.08172,1,1
"GO:0045035","sensory organ precursor cell division",7,1,0.09,0.08272,1,1
"GO:0045476","nurse cell apoptotic process",7,1,0.09,0.08272,1,1
"GO:0097194","execution phase of apoptosis",7,1,0.09,0.08272,1,1
"GO:0098781","ncRNA transcription",7,1,0.09,0.08272,1,1
"GO:0043068","positive regulation of programmed cell d...",40,2,0.49,0.08508,1,1
"GO:0007088","regulation of mitotic nuclear division",41,2,0.5,0.08877,1,1
"GO:0051783","regulation of nuclear division",42,2,0.51,0.09251,1,1
"GO:0048665","neuron fate specification",8,1,0.1,0.09398,1,1
"GO:1900087","positive regulation of G1/S transition o...",8,1,0.1,0.09398,1,1
"GO:1902742","apoptotic process involved in developmen...",8,1,0.1,0.09398,1,1
"GO:1902808","positive regulation of cell cycle G1/S p...",8,1,0.1,0.09398,1,1
"GO:1903052","positive regulation of proteolysis invol...",8,1,0.1,0.09398,1,1
"GO:1903364","positive regulation of cellular protein ...",8,1,0.1,0.09398,1,1
"GO:0010942","positive regulation of cell death",43,2,0.53,0.0963,1,1
"GO:0030097","hemopoiesis",44,2,0.54,0.10013,1,1
"GO:0051338","regulation of transferase activity",46,2,0.56,0.10792,1,1
"GO:0032434","regulation of proteasomal ubiquitin-depe...",10,1,0.12,0.1161,1,1
"GO:0044719","regulation of imaginal disc-derived wing...",10,1,0.12,0.1161,1,1
"GO:0061136","regulation of proteasomal protein catabo...",10,1,0.12,0.1161,1,1
"GO:0019637","organophosphate metabolic process",99,3,1.21,0.11901,1,1
"GO:0007306","eggshell chorion assembly",49,2,0.6,0.11991,1,1
"GO:0007096","regulation of exit from mitosis",11,1,0.13,0.12697,1,1
"GO:0007370","ventral furrow formation",11,1,0.13,0.12697,1,1
"GO:0051348","negative regulation of transferase activ...",11,1,0.13,0.12697,1,1
"GO:0000070","mitotic sister chromatid segregation",51,2,0.62,0.12808,1,1
"GO:1901566","organonitrogen compound biosynthetic pro...",285,6,3.49,0.12906,1,1
"GO:0002520","immune system development",52,2,0.64,0.13222,1,1
"GO:0007419","ventral cord development",52,2,0.64,0.13222,1,1
"GO:0048534","hematopoietic or lymphoid organ developm...",52,2,0.64,0.13222,1,1
"GO:0006275","regulation of DNA replication",12,1,0.15,0.1377,1,1
"GO:0007277","pole cell development",12,1,0.15,0.1377,1,1
"GO:0010458","exit from mitosis",12,1,0.15,0.1377,1,1
"GO:0031331","positive regulation of cellular cataboli...",12,1,0.15,0.1377,1,1
"GO:1903050","regulation of proteolysis involved in ce...",12,1,0.15,0.1377,1,1
"GO:1903362","regulation of cellular protein catabolic...",12,1,0.15,0.1377,1,1
"GO:0051246","regulation of protein metabolic process",228,5,2.79,0.14185,1,1
"GO:0006260","DNA replication",55,2,0.67,0.14481,1,1
"GO:0045732","positive regulation of protein catabolic...",13,1,0.16,0.1483,1,1
"GO:0060537","muscle tissue development",13,1,0.16,0.1483,1,1
"GO:0070647","protein modification by small protein co...",111,3,1.36,0.15268,1,1
"GO:0043086","negative regulation of catalytic activit...",14,1,0.17,0.15878,1,1
"GO:0007304","chorion-containing eggshell formation",60,2,0.73,0.16633,1,1
"GO:0030703","eggshell formation",60,2,0.73,0.16633,1,1
"GO:0016579","protein deubiquitination",15,1,0.18,0.16913,1,1
"GO:0035019","somatic stem cell population maintenance",15,1,0.18,0.16913,1,1
"GO:0042023","DNA endoreduplication",15,1,0.18,0.16913,1,1
"GO:0000819","sister chromatid segregation",61,2,0.75,0.17071,1,1
"GO:1901135","carbohydrate derivative metabolic proces...",118,3,1.45,0.17362,1,1
"GO:0031329","regulation of cellular catabolic process",16,1,0.2,0.17936,1,1
"GO:0009896","positive regulation of catabolic process",17,1,0.21,0.18947,1,1
"GO:0030071","regulation of mitotic metaphase/anaphase...",17,1,0.21,0.18947,1,1
"GO:0031396","regulation of protein ubiquitination",17,1,0.21,0.18947,1,1
"GO:1902099","regulation of metaphase/anaphase transit...",17,1,0.21,0.18947,1,1
"GO:0007067","mitotic nuclear division",126,3,1.54,0.19852,1,1
"GO:1901989","positive regulation of cell cycle phase ...",18,1,0.22,0.19945,1,1
"GO:1901992","positive regulation of mitotic cell cycl...",18,1,0.22,0.19945,1,1
"GO:0007091","metaphase/anaphase transition of mitotic...",19,1,0.23,0.20932,1,1
"GO:0010965","regulation of mitotic sister chromatid s...",19,1,0.23,0.20932,1,1
"GO:0044784","metaphase/anaphase transition of cell cy...",19,1,0.23,0.20932,1,1
"GO:0001703","gastrulation with mouth forming first",20,1,0.24,0.21907,1,1
"GO:0010004","gastrulation involving germ band extensi...",20,1,0.24,0.21907,1,1
"GO:0033047","regulation of mitotic sister chromatid s...",20,1,0.24,0.21907,1,1
"GO:0090068","positive regulation of cell cycle proces...",20,1,0.24,0.21907,1,1
"GO:1902806","regulation of cell cycle G1/S phase tran...",20,1,0.24,0.21907,1,1
"GO:1903320","regulation of protein modification by sm...",20,1,0.24,0.21907,1,1
"GO:2000045","regulation of G1/S transition of mitotic...",20,1,0.24,0.21907,1,1
"GO:1903047","mitotic cell cycle process",265,5,3.25,0.21959,1,1
"GO:0033045","regulation of sister chromatid segregati...",21,1,0.26,0.2287,1,1
"GO:0035206","regulation of hemocyte proliferation",21,1,0.26,0.2287,1,1
"GO:0044092","negative regulation of molecular functio...",21,1,0.26,0.2287,1,1
"GO:0044786","cell cycle DNA replication",21,1,0.26,0.2287,1,1
"GO:0002164","larval development",76,2,0.93,0.23818,1,1
"GO:0016567","protein ubiquitination",76,2,0.93,0.23818,1,1
"GO:0007400","neuroblast fate determination",22,1,0.27,0.23821,1,1
"GO:0045862","positive regulation of proteolysis",22,1,0.27,0.23821,1,1
"GO:0051306","mitotic sister chromatid separation",22,1,0.27,0.23821,1,1
"GO:0051716","cellular response to stimulus",793,12,9.71,0.24392,1,1
"GO:0019915","lipid storage",23,1,0.28,0.24762,1,1
"GO:0048867","stem cell fate determination",23,1,0.28,0.24762,1,1
"GO:0051983","regulation of chromosome segregation",23,1,0.28,0.24762,1,1
"GO:0014017","neuroblast fate commitment",24,1,0.29,0.2569,1,1
"GO:0033044","regulation of chromosome organization",24,1,0.29,0.2569,1,1
"GO:0043902","positive regulation of multi-organism pr...",24,1,0.29,0.2569,1,1
"GO:0098813","nuclear chromosome segregation",83,2,1.02,0.27032,1,1
"GO:0051297","centrosome organization",84,2,1.03,0.27492,1,1
"GO:0045931","positive regulation of mitotic cell cycl...",26,1,0.32,0.27515,1,1
"GO:0051052","regulation of DNA metabolic process",26,1,0.32,0.27515,1,1
"GO:0051304","chromosome separation",26,1,0.32,0.27515,1,1
"GO:0031023","microtubule organizing center organizati...",85,2,1.04,0.27952,1,1
"GO:0032446","protein modification by small protein co...",85,2,1.04,0.27952,1,1
"GO:0070646","protein modification by small protein re...",27,1,0.33,0.28411,1,1
"GO:0035172","hemocyte proliferation",28,1,0.34,0.29296,1,1
"GO:0051726","regulation of cell cycle",226,4,2.77,0.29813,1,1
"GO:0022900","electron transport chain",29,1,0.36,0.3017,1,1
"GO:0048865","stem cell fate commitment",29,1,0.36,0.3017,1,1
"GO:0010927","cellular component assembly involved in ...",90,2,1.1,0.3025,1,1
"GO:0042981","regulation of apoptotic process",90,2,1.1,0.3025,1,1
"GO:1901564","organonitrogen compound metabolic proces...",376,6,4.6,0.30914,1,1
"GO:0010876","lipid localization",30,1,0.37,0.31034,1,1
"GO:0014016","neuroblast differentiation",30,1,0.37,0.31034,1,1
"GO:0007059","chromosome segregation",95,2,1.16,0.32538,1,1
"GO:2000241","regulation of reproductive process",32,1,0.39,0.32731,1,1
"GO:0045787","positive regulation of cell cycle",33,1,0.4,0.33564,1,1
"GO:0010675","regulation of cellular carbohydrate meta...",98,2,1.2,0.33904,1,1
"GO:0010906","regulation of glucose metabolic process",98,2,1.2,0.33904,1,1
"GO:0000278","mitotic cell cycle",315,5,3.86,0.34114,1,1
"GO:0006109","regulation of carbohydrate metabolic pro...",99,2,1.21,0.34358,1,1
"GO:0031400","negative regulation of protein modificat...",34,1,0.42,0.34387,1,1
"GO:0008284","positive regulation of cell proliferatio...",36,1,0.44,0.36004,1,1
"GO:0006006","glucose metabolic process",104,2,1.27,0.36612,1,1
"GO:1901987","regulation of cell cycle phase transitio...",104,2,1.27,0.36612,1,1
"GO:1901990","regulation of mitotic cell cycle phase t...",104,2,1.27,0.36612,1,1
"GO:0002066","columnar/cuboidal epithelial cell develo...",176,3,2.16,0.36672,1,1
"GO:0030707","ovarian follicle cell development",176,3,2.16,0.36672,1,1
"GO:0043067","regulation of programmed cell death",105,2,1.29,0.3706,1,1
"GO:0007476","imaginal disc-derived wing morphogenesis",179,3,2.19,0.37699,1,1
"GO:0006915","apoptotic process",107,2,1.31,0.37952,1,1
"GO:0002065","columnar/cuboidal epithelial cell differ...",180,3,2.2,0.38041,1,1
"GO:0007472","wing disc morphogenesis",180,3,2.2,0.38041,1,1
"GO:0019318","hexose metabolic process",108,2,1.32,0.38397,1,1
"GO:0050790","regulation of catalytic activity",108,2,1.32,0.38397,1,1
"GO:0005996","monosaccharide metabolic process",109,2,1.33,0.3884,1,1
"GO:0022008","neurogenesis",723,10,8.85,0.38903,1,1
"GO:0048663","neuron fate commitment",41,1,0.5,0.39878,1,1
"GO:0006796","phosphate-containing compound metabolic ...",339,5,4.15,0.40245,1,1
"GO:0002064","epithelial cell development",187,3,2.29,0.40426,1,1
"GO:0006793","phosphorus metabolic process",340,5,4.16,0.40501,1,1
"GO:0030162","regulation of proteolysis",42,1,0.51,0.40625,1,1
"GO:0006261","DNA-dependent DNA replication",43,1,0.53,0.41363,1,1
"GO:0000280","nuclear division",190,3,2.33,0.41442,1,1
"GO:0044281","small molecule metabolic process",268,4,3.28,0.41894,1,1
"GO:0006909","phagocytosis",116,2,1.42,0.41905,1,1
"GO:0042127","regulation of cell proliferation",116,2,1.42,0.41905,1,1
"GO:0044262","cellular carbohydrate metabolic process",116,2,1.42,0.41905,1,1
"GO:0048569","post-embryonic animal organ development",269,4,3.29,0.42181,1,1
"GO:0048285","organelle fission",193,3,2.36,0.42454,1,1
"GO:0010941","regulation of cell death",118,2,1.45,0.42768,1,1
"GO:0010720","positive regulation of cell development",46,1,0.56,0.43524,1,1
"GO:0033043","regulation of organelle organization",120,2,1.47,0.43624,1,1
"GO:0007286","spermatid development",49,1,0.6,0.45607,1,1
"GO:0045597","positive regulation of cell differentiat...",49,1,0.6,0.45607,1,1
"GO:0006412","translation",203,3,2.49,0.45786,1,1
"GO:0006259","DNA metabolic process",126,2,1.54,0.46155,1,1
"GO:0007369","gastrulation",50,1,0.61,0.46285,1,1
"GO:0035120","post-embryonic appendage morphogenesis",205,3,2.51,0.46444,1,1
"GO:0048732","gland development",127,2,1.56,0.46571,1,1
"GO:0051276","chromosome organization",127,2,1.56,0.46571,1,1
"GO:0030855","epithelial cell differentiation",206,3,2.52,0.46772,1,1
"GO:0051235","maintenance of location",52,1,0.64,0.47616,1,1
"GO:0010564","regulation of cell cycle process",130,2,1.59,0.47807,1,1
"GO:0035114","imaginal disc-derived appendage morphoge...",210,3,2.57,0.48076,1,1
"GO:0035107","appendage morphogenesis",211,3,2.58,0.484,1,1
"GO:0044723","single-organism carbohydrate metabolic p...",132,2,1.62,0.48622,1,1
"GO:0048737","imaginal disc-derived appendage developm...",212,3,2.6,0.48723,1,1
"GO:0034660","ncRNA metabolic process",54,1,0.66,0.48915,1,1
"GO:0048736","appendage development",213,3,2.61,0.49045,1,1
"GO:0065009","regulation of molecular function",134,2,1.64,0.4943,1,1
"GO:0001708","cell fate specification",55,1,0.67,0.49552,1,1
"GO:0019730","antimicrobial humoral response",55,1,0.67,0.49552,1,1
"GO:0048863","stem cell differentiation",55,1,0.67,0.49552,1,1
"GO:0048515","spermatid differentiation",56,1,0.69,0.50182,1,1
"GO:0019827","stem cell population maintenance",57,1,0.7,0.50804,1,1
"GO:0098727","maintenance of cell number",57,1,0.7,0.50804,1,1
"GO:0043623","cellular protein complex assembly",58,1,0.71,0.51419,1,1
"GO:0044271","cellular nitrogen compound biosynthetic ...",711,9,8.71,0.51943,1,1
"GO:0007422","peripheral nervous system development",59,1,0.72,0.52026,1,1
"GO:0007417","central nervous system development",142,2,1.74,0.52585,1,1
"GO:0006959","humoral immune response",60,1,0.73,0.52626,1,1
"GO:0022402","cell cycle process",390,5,4.78,0.5306,1,1
"GO:0050896","response to stimulus",1044,13,12.79,0.53384,1,1
"GO:0043043","peptide biosynthetic process",228,3,2.79,0.53765,1,1
"GO:0043604","amide biosynthetic process",230,3,2.82,0.54378,1,1
"GO:0006091","generation of precursor metabolites and ...",63,1,0.77,0.54383,1,1
"GO:0008356","asymmetric cell division",64,1,0.78,0.54954,1,1
"GO:0000122","negative regulation of transcription fro...",65,1,0.8,0.55518,1,1
"GO:0007346","regulation of mitotic cell cycle",151,2,1.85,0.55982,1,1
"GO:0006518","peptide metabolic process",237,3,2.9,0.56486,1,1
"GO:0000086","G2/M transition of mitotic cell cycle",67,1,0.82,0.56626,1,1
"GO:0007399","nervous system development",818,10,10.02,0.56692,1,1
"GO:0007560","imaginal disc morphogenesis",238,3,2.91,0.56783,1,1
"GO:0048563","post-embryonic animal organ morphogenesi...",238,3,2.91,0.56783,1,1
"GO:0005975","carbohydrate metabolic process",154,2,1.89,0.57077,1,1
"GO:0045893","positive regulation of transcription, DN...",154,2,1.89,0.57077,1,1
"GO:1902680","positive regulation of RNA biosynthetic ...",154,2,1.89,0.57077,1,1
"GO:1903508","positive regulation of nucleic acid-temp...",154,2,1.89,0.57077,1,1
"GO:0043900","regulation of multi-organism process",68,1,0.83,0.5717,1,1
"GO:0034654","nucleobase-containing compound biosynthe...",491,6,6.01,0.57279,1,1
"GO:0035220","wing disc development",240,3,2.94,0.57373,1,1
"GO:0043603","cellular amide metabolic process",241,3,2.95,0.57666,1,1
"GO:0008360","regulation of cell shape",69,1,0.84,0.57707,1,1
"GO:0051254","positive regulation of RNA metabolic pro...",157,2,1.92,0.58154,1,1
"GO:0032269","negative regulation of cellular protein ...",71,1,0.87,0.58762,1,1
"GO:0044839","cell cycle G2/M phase transition",71,1,0.87,0.58762,1,1
"GO:0051248","negative regulation of protein metabolic...",71,1,0.87,0.58762,1,1
"GO:0045935","positive regulation of nucleobase-contai...",163,2,2,0.6025,1,1
"GO:0019438","aromatic compound biosynthetic process",505,6,6.18,0.60265,1,1
"GO:0018130","heterocycle biosynthetic process",507,6,6.21,0.60684,1,1
"GO:0012501","programmed cell death",167,2,2.05,0.61605,1,1
"GO:1901362","organic cyclic compound biosynthetic pro...",512,6,6.27,0.61721,1,1
"GO:0000226","microtubule cytoskeleton organization",168,2,2.06,0.61939,1,1
"GO:0010623","programmed cell death involved in cell d...",80,1,0.98,0.63202,1,1
"GO:0010557","positive regulation of macromolecule bio...",172,2,2.11,0.63251,1,1
"GO:0009791","post-embryonic development",349,4,4.27,0.63462,1,1
"GO:0001709","cell fate determination",83,1,1.02,0.64576,1,1
"GO:0080090","regulation of primary metabolic process",699,8,8.56,0.65195,1,1
"GO:0006897","endocytosis",180,2,2.2,0.65776,1,1
"GO:0008219","cell death",181,2,2.22,0.66082,1,1
"GO:1902589","single-organism organelle organization",361,4,4.42,0.66233,1,1
"GO:0010628","positive regulation of gene expression",183,2,2.24,0.66688,1,1
"GO:0002376","immune system process",184,2,2.25,0.66987,1,1
"GO:0048646","anatomical structure formation involved ...",278,3,3.4,0.67658,1,1
"GO:0009891","positive regulation of biosynthetic proc...",187,2,2.29,0.67874,1,1
"GO:0031328","positive regulation of cellular biosynth...",187,2,2.29,0.67874,1,1
"GO:0060562","epithelial tube morphogenesis",279,3,3.42,0.67904,1,1
"GO:0007155","cell adhesion",91,1,1.11,0.68,1,1
"GO:0022604","regulation of cell morphogenesis",92,1,1.13,0.68405,1,1
"GO:0051173","positive regulation of nitrogen compound...",190,2,2.33,0.68743,1,1
"GO:0006461","protein complex assembly",93,1,1.14,0.68805,1,1
"GO:0022610","biological adhesion",93,1,1.14,0.68805,1,1
"GO:0070271","protein complex biogenesis",93,1,1.14,0.68805,1,1
"GO:0090066","regulation of anatomical structure size",93,1,1.14,0.68805,1,1
"GO:0048707","instar larval or pupal morphogenesis",283,3,3.47,0.68874,1,1
"GO:0031325","positive regulation of cellular metaboli...",284,3,3.48,0.69113,1,1
"GO:0010604","positive regulation of macromolecule met...",286,3,3.5,0.69588,1,1
"GO:1901576","organic substance biosynthetic process",815,9,9.98,0.70475,1,1
"GO:0009886","post-embryonic animal morphogenesis",290,3,3.55,0.70523,1,1
"GO:0045168","cell-cell signaling involved in cell fat...",98,1,1.2,0.70731,1,1
"GO:0046331","lateral inhibition",98,1,1.2,0.70731,1,1
"GO:0035239","tube morphogenesis",291,3,3.56,0.70753,1,1
"GO:0030154","cell differentiation",1069,12,13.09,0.70823,1,1
"GO:0007281","germ cell development",383,4,4.69,0.7096,1,1
"GO:0044249","cellular biosynthetic process",819,9,10.03,0.71103,1,1
"GO:0007552","metamorphosis",293,3,3.59,0.7121,1,1
"GO:0008283","cell proliferation",199,2,2.44,0.71237,1,1
"GO:0006468","protein phosphorylation",201,2,2.46,0.7177,1,1
"GO:0032504","multicellular organism reproduction",477,5,5.84,0.71847,1,1
"GO:0001932","regulation of protein phosphorylation",103,1,1.26,0.72542,1,1
"GO:0007283","spermatogenesis",103,1,1.26,0.72542,1,1
"GO:0007017","microtubule-based process",204,2,2.5,0.72553,1,1
"GO:0007049","cell cycle",481,5,5.89,0.72578,1,1
"GO:0048232","male gamete generation",104,1,1.27,0.72891,1,1
"GO:0009058","biosynthetic process",832,9,10.19,0.73092,1,1
"GO:0009893","positive regulation of metabolic process",303,3,3.71,0.73416,1,1
