"Complex","Conditional","Essential","Nonessential","<NA>","protein_count","essentiality_fraction","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"FC1020",0,0,4,1,5,0,5,"Literature","CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)","CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)",NA,"MI:0019- coimmunoprecipitation","CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)","CORUM","Human","15890777","FBgn0019947 FBgn0031458 FBgn0039234 FBgn0053198 FBgn0261822 "
"FC1021",0,0,27,0,27,0,27,"Literature","ASF1-interacting protein complex","ASF1-interacting protein complex",NA,"MI:0019- coimmunoprecipitation","ASF1-interacting protein complex","CORUM","Human","15664198","FBgn0053812 FBgn0053815 FBgn0030054 FBgn0053809 FBgn0053857 FBgn0053821 FBgn0053806 FBgn0053818 FBgn0029094 FBgn0053824 FBgn0022786 FBgn0053866 FBgn0053827 FBgn0053860 FBgn0051613 FBgn0053854 FBgn0053842 FBgn0053845 FBgn0053839 FBgn0053803 FBgn0053851 FBgn0053848 FBgn0053833 FBgn0053830 FBgn0053836 FBgn0053863 FBgn0033526 "
"FC1022",0,0,4,0,4,0,4,"Literature","tRNA splicing endonuclease","tRNA splicing endonuclease",NA,"MI:0004- affinity chromatography technologies","tRNA splicing endonuclease","CORUM","Human","15109492","FBgn0053260 FBgn0051812 FBgn0033842 FBgn0036266 "
"FC1023",0,0,2,0,2,0,2,"Literature","translation release factor complex","translation release factor complex;eRF1-eRF3-GTP-Mg(2+) complex",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster262","CYC2008","Yeast","","FBgn0036974 FBgn0020443 "
"FC1024",0,0,3,0,3,0,3,"Literature","9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex","9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex;Aip-Hsp90-Ahr complex",NA,"MI:0019- coimmunoprecipitation | MI:0030- cross-linking studies","9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex","CORUM","Mus musculus","1310021","FBgn0001233 FBgn0030345 FBgn0003513 "
"FC1025",0,0,2,0,2,0,2,"Literature","p97/VCP-VIMP-DERL1 complex","p97/VCP-VIMP-DERL1 complex;Membrane protein complex (DERL1, SELS, VCP)",NA,"MI:0019- coimmunoprecipitation | MI:0051- fluorescence technologies","Membrane protein complex (DERL1, SELS, VCP)","CORUM","Human","15215856","FBgn0261014 FBgn0031376 "
"FC1026",0,0,5,0,5,0,5,"Literature","CASP8-FADD-MALT1-BCL10 complex","CASP8-FADD-MALT1-BCL10 complex",NA,"MI:0019- coimmunoprecipitation","CASP8-FADD-MALT1-BCL10 complex","CORUM","Human","15746428","FBgn0020381 FBgn0035006 FBgn0000547 FBgn0030161 FBgn0051774 "
"FC1027",0,0,17,0,17,0,17,"Literature","RNA polymerase II (RNAPII)","RNA polymerase II (RNAPII);TAP-tagged RNAPII",NA,"TAP-tagged Rpb2, Rpb4, Rpb7, Rpb11, TFIIB, RAP30","TAP-tagged RNAPII","PINdb","Human","15282305","FBgn0033571 FBgn0039218 FBgn0053520 FBgn0026373 FBgn0004915 FBgn0052104 FBgn0003276 FBgn0003275 FBgn0003277 FBgn0037121 FBgn0085215 FBgn0035026 FBgn0004855 FBgn0032634 FBgn0010282 FBgn0051155 FBgn0010421 "
"FC1028",0,0,2,0,2,0,2,"Literature","cellular process","cellular process",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster510","Additional publication","Fly","22036573","FBgn0029148 FBgn0029885 "
"FC1029",0,0,9,0,9,0,9,"Literature","Sam68-p120GAP complex","Sam68-p120GAP complex",NA,"MI:0019- coimmunoprecipitation","Sam68-p120GAP complex","CORUM","Human","11604231","FBgn0022985 FBgn0003969 FBgn0034659 FBgn0034739 FBgn0022984 FBgn0022986 FBgn0034740 FBgn0034731 FBgn0022987 "
"FC1030",0,1,25,0,26,0.0384615384615385,26,"Literature","TLE-Histone H3 complex","TLE-Histone H3 complex",NA,"MI:0047- far western blotting","TLE-Histone H3 complex","CORUM","Human","9334241","FBgn0004828 FBgn0053812 FBgn0053815 FBgn0053809 FBgn0053857 FBgn0053821 FBgn0053806 FBgn0001139 FBgn0053818 FBgn0053824 FBgn0053866 FBgn0053827 FBgn0053860 FBgn0051613 FBgn0053854 FBgn0053842 FBgn0053845 FBgn0053839 FBgn0053803 FBgn0053851 FBgn0053848 FBgn0014857 FBgn0053833 FBgn0053836 FBgn0053830 FBgn0053863 "
"FC1032",1,0,2,0,3,0,3,"Literature","Cdc48p complex","Cdc48p complex;p97-Ufd1-Npl4 complex",NA,"Affinity Capture-Western","Cdc48p complex","CYC2008","Yeast","11598205","FBgn0261014 FBgn0036136 FBgn0039348 "
"FC1033",0,0,8,1,9,0,9,"Literature","CSK-GAP-A.p62 complex","CSK-GAP-A.p62 complex",NA,"MI:0019- coimmunoprecipitation | MI:0096- pull down","CSK-GAP-A.p62 complex","CORUM","Mus musculus","7544435","FBgn0022985 FBgn0034659 FBgn0034739 FBgn0022984 FBgn0022986 FBgn0034740 FBgn0022987 FBgn0034731 FBgn0262081 "
"FC1034",0,0,3,0,3,0,3,"Literature","cellular process","cellular process",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster216","Additional publication","Fly","22036573","FBgn0087021 FBgn0031037 FBgn0002609 "
"FC1035",0,0,8,0,8,0,8,"Literature","NuA4/Tip60-HAT complex B","NuA4/Tip60-HAT complex B",NA,"MI:0007- anti tag coimmunoprecipitation","NuA4/Tip60-HAT complex B","CORUM","Human","14966270","FBgn0025716 FBgn0034537 FBgn0040075 FBgn0053554 FBgn0027378 FBgn0040078 FBgn0026080 FBgn0000581 "
"FC1036",0,0,8,0,8,0,8,"Literature","CDC5L","CDC5L",NA,"conventional chromatography;  anti-CDC5L affinity chromatography; FLAG-tagged AD002, FLAG-tagged SPF27","CDC5L","PINdb","Human","11101529,15175653","FBgn0261119 FBgn0030365 FBgn0035136 FBgn0001216 FBgn0001219 FBgn0040235 FBgn0039959 FBgn0039558 "
"FC1037",0,0,3,0,3,0,3,"Literature","ABL2-HRAS-RIN1 complex","ABL2-HRAS-RIN1 complex",NA,"MI:0019- coimmunoprecipitation","ABL2-HRAS-RIN1 complex","CORUM","Human","15886098","FBgn0085443 FBgn0000017 FBgn0003205 "
"FC1038",0,0,2,0,2,0,2,"Literature","adenylyl cyclase complex","adenylyl cyclase complex",NA,"Affinity Capture-Western","adenylyl cyclase complex","CYC2008","Yeast","2455217","FBgn0032749 FBgn0261458 "
"FC1039",0,0,3,0,3,0,3,"Literature","Metaxin complex","Metaxin complex",NA,"MI:0018- two hybrid","Metaxin complex","CORUM","Mus musculus","10381257","FBgn0037710 FBgn0030620 FBgn0036920 "
"FC1040",1,0,4,0,5,0,5,"Literature","Gamma-secretase-Delta1 complex","Gamma-secretase-Delta1 complex",NA,"MI:0071- molecular sieving","Gamma-secretase-Delta1 complex","CORUM","Human","12794186","FBgn0019947 FBgn0031458 FBgn0039234 FBgn0053198 FBgn0000463 "
"FC1041",0,0,3,0,3,0,3,"Literature","biological_process","biological_process",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster316","CYC2008","Yeast","","FBgn0033615 FBgn0030655 FBgn0035838 "
"FC1042",0,0,9,0,9,0,9,"Literature","SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)","SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4);SNARE complex (VAMP2, SNAP25, STX1a, CPLX1);SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)",NA,"MI:0027- cosedimentation","SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)","CORUM","Human","15911881","FBgn0024980 FBgn0013342 FBgn0013343 FBgn0011288 FBgn0041605 FBgn0028401 FBgn0003660 FBgn0259151 FBgn0037260 "
"FC1043",0,0,4,0,4,0,4,"Literature","DNMT1-G9a-PCNA complex","DNMT1-G9a-PCNA complex",NA,"MI:0019- coimmunoprecipitation","DNMT1-G9a-PCNA complex","CORUM","Human","17085482","FBgn0032813 FBgn0028707 FBgn0040372 FBgn0005655 "
"FC1044",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster535","Additional publication","Fly","22036573","FBgn0037881 FBgn0015663 "
"FC1045",1,14,21,5,41,0.341463414634146,41,"Literature","cytoplasmic ribosomal small subunit","cytoplasmic ribosomal small subunit",NA,"Affinity Capture-MS","cytoplasmic ribosomal small subunit","CYC2008","Yeast","10404161","FBgn0039300 FBgn0020618 FBgn0010412 FBgn0039129 FBgn0003517 FBgn0034138 FBgn0261592 FBgn0015521 FBgn0005533 FBgn0085211 FBgn0010411 FBgn0033153 FBgn0019936 FBgn0011284 FBgn0034743 FBgn0039713 FBgn0033699 FBgn0010198 FBgn0002590 FBgn0261596 FBgn0039739 FBgn0030136 FBgn0038834 FBgn0261597 FBgn0027494 FBgn0010265 FBgn0260441 FBgn0261599 FBgn0003942 FBgn0004867 FBgn0002622 FBgn0038277 FBgn0004403 FBgn0086472 FBgn0033912 FBgn0261593 FBgn0004404 FBgn0017545 FBgn0039757 FBgn0010408 FBgn0033555 "
"FC1046",0,0,16,0,16,0,16,"Literature","ATP hydrolysis coupled proton transport","ATP hydrolysis coupled proton transport;energy coupled proton transport, against electrochemical gradient;proton transport;monovalent inorganic cation transport;cation transport",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster32","CYC2008","Yeast","","FBgn0027779 FBgn0020368 FBgn0035006 FBgn0032464 FBgn0037402 FBgn0020611 FBgn0005671 FBgn0010426 FBgn0022097 FBgn0015324 FBgn0020367 FBgn0033706 FBgn0001223 FBgn0040377 FBgn0026753 FBgn0030161 "
"FC1047",1,0,39,1,41,0,41,"Literature","myofibril assembly","myofibril assembly;actomyosin structure organization;striated muscle cell development;respiratory electron transport chain;actin cytoskeleton organization",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster3","Additional publication","Fly","22036573","FBgn0000045 FBgn0000116 FBgn0052473 FBgn0002772 FBgn0004028 FBgn0010100 FBgn0004117 FBgn0022160 FBgn0031906 FBgn0037046 FBgn0005633 FBgn0034158 FBgn0039461 FBgn0036766 FBgn0086783 FBgn0000047 FBgn0039464 FBgn0021967 FBgn0000667 FBgn0261955 FBgn0020908 FBgn0085201 FBgn0000055 FBgn0003149 FBgn0001098 FBgn0033027 FBgn0001128 FBgn0004169 FBgn0031908 FBgn0002773 FBgn0038294 FBgn0031021 FBgn0032833 FBgn0035817 FBgn0035600 FBgn0013348 FBgn0019624 FBgn0013988 FBgn0010226 FBgn0010352 FBgn0034497 "
"FC1048",0,0,6,0,6,0,6,"Literature","Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)","Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)",NA,"MI:0007- anti tag coimmunoprecipitation","Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)","CORUM","Human","16571674","FBgn0032105 FBgn0024227 FBgn0259784 FBgn0032104 FBgn0260991 FBgn0000147 "
"FC1049",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster331","Additional publication","Fly","22036573","FBgn0026079 FBgn0032297 "
"FC1050",0,0,15,0,15,0,15,"Literature","STAGA complex (SPT3-TAF9-GCN5 acetyltransferase complex)","STAGA complex (SPT3-TAF9-GCN5 acetyltransferase complex)",NA,"MI:0006- anti bait coimmunoprecipitation","STAGA complex (SPT3-TAF9-GCN5 acetyltransferase complex)","CORUM","Human","15115762","FBgn0026324 FBgn0030874 FBgn0028398 FBgn0014342 FBgn0000617 FBgn0035162 FBgn0053554 FBgn0011290 FBgn0051866 FBgn0039067 FBgn0037981 FBgn0030891 FBgn0020388 FBgn0033754 FBgn0051865 "
"FC1051",0,0,6,0,6,0,6,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster77","Additional publication","Fly","22036573","FBgn0032660 FBgn0000543 FBgn0032250 FBgn0036063 FBgn0036771 FBgn0038590 "
"FC1052",0,0,3,1,4,0,4,"Literature","20S methylosome-SmD complex","20S methylosome-SmD complex",NA,"MI:0029- cosedimentation through density gradients | MI:0004- affinity chromatography technologies","20S methylosome-SmD complex","CORUM","Human","11713266","FBgn0023167 FBgn0261933 FBgn0029079 FBgn0015925 "
"FC1053",0,0,6,0,6,0,6,"Literature","Cdc24p/Far1p/Gbetagamma protein complex","Cdc24p/Far1p/Gbetagamma protein complex",NA,"Two-hybrid,Affinity Capture-Western,Reconstituted Complex","Cdc24p/Far1p/Gbetagamma protein complex","CYC2008","Yeast","10087263","FBgn0030011 FBgn0050115 FBgn0004623 FBgn0001105 FBgn0040068 FBgn0259743 "
"FC1054",0,0,3,0,3,0,3,"Literature","Hdac1-Mecp2-Rcor1-Sin3a complex","Hdac1-Mecp2-Rcor1-Sin3a complex",NA,"MI:0019- coimmunoprecipitation","Hdac1-Mecp2-Rcor1-Sin3a complex","CORUM","Mus musculus","15907476","FBgn0022764 FBgn0261573 FBgn0015805 "
"FC1055",0,0,3,0,3,0,3,"Literature","Sh3kbp1-Cblb-Egfr complex","Sh3kbp1-Cblb-Egfr complex;SH3KBP1-CBLB-EGFR complex",NA,"MI:0007- anti tag coimmunoprecipitation","Sh3kbp1-Cblb-Egfr complex","CORUM","Mus musculus","12177062","FBgn0020224 FBgn0027598 FBgn0003731 "
"FC1056",0,0,4,0,4,0,4,"Literature","CRK-BCAR1-DOCK1 complex","CRK-BCAR1-DOCK1 complex",NA,"MI:0019- coimmunoprecipitation","CRK-BCAR1-DOCK1 complex","CORUM","Human","11146654","FBgn0024811 FBgn0051048 FBgn0035101 FBgn0015513 "
"FC1057",0,0,3,0,3,0,3,"Literature","RFC core complex","RFC core complex",NA,"MI:0006- anti bait coimmunoprecipitation","RFC core complex","CORUM","Human","8692848","FBgn0260985 FBgn0032244 FBgn0030871 "
"FC1058",0,0,5,0,5,0,5,"Literature","CDC2-PCNA-CCNB1-GADD45G complex","CDC2-PCNA-CCNB1-GADD45G complex;CDC2-PCNA-CCNB1-GADD45A complex;CDC2-PCNA-CCNB1-GADD45B complex",NA,"MI:0096- pull down | MI:0019- coimmunoprecipitation","CDC2-PCNA-CCNB1-GADD45G complex","CORUM","Human","12124778","FBgn0004106 FBgn0033153 FBgn0032813 FBgn0000405 FBgn0005655 "
"FC1059",0,0,3,0,3,0,3,"Literature","Mob1p/Dbf2p complex","Mob1p/Dbf2p complex",NA,"Two-hybrid,Affinity Capture-Western,Reconstituted Complex","Mob1p/Dbf2p complex","CYC2008","Yeast","9528782","FBgn0038965 FBgn0023081 FBgn0259482 "
"FC1060",0,0,3,0,3,0,3,"Literature","VPS35-VPS29-VPS26A complex","VPS35-VPS29-VPS26A complex;Vps29-Vps35-Vps26a complex",NA,"MI:0096- pull down | MI:0007- anti tag coimmunoprecipitation","Vps29-Vps35-Vps26a complex","CORUM","Mus musculus","15965486","FBgn0031310 FBgn0014411 FBgn0034708 "
"FC1061",0,1,2,0,3,0.333333333333333,3,"Predicted","IMP3-IMP4-MPP10 complex","IMP3-IMP4-MPP10 complex",NA,"CFinder","","Predicted from PPI network","Fly","","FBgn0039274 FBgn0032051 FBgn0034232 "
"FC1062",0,0,13,0,13,0,13,"Literature","plasma membrane organization","plasma membrane organization",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster21","Additional publication","Fly","22036573","FBgn0004167 FBgn0250789 FBgn0000100 FBgn0015278 FBgn0001114 FBgn0037758 FBgn0033529 FBgn0002780 FBgn0011828 FBgn0003189 FBgn0037770 FBgn0011747 FBgn0040237 "
"FC1063",0,0,5,0,5,0,5,"Literature","Png1p/Rad23p complex","Png1p/Rad23p complex",NA,"Reconstituted Complex","Png1p/Rad23p complex","CYC2008","Yeast","15351714","FBgn0033050 FBgn0051560 FBgn0033421 FBgn0039147 FBgn0026777 "
"FC1064",1,1,4,0,6,0.166666666666667,6,"Literature","EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)","EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)",NA,"MI:0096- pull down","EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)","CORUM","Human","14688252","FBgn0015834 FBgn0034237 FBgn0038796 FBgn0029629 FBgn0037249 FBgn0027619 "
"FC1065",0,0,2,0,2,0,2,"Literature","Xin-Cdh2-Ctnnb1-Ctnnd1 complex","Xin-Cdh2-Ctnnb1-Ctnnd1 complex",NA,"MI:0006- anti bait coimmunoprecipitation","Xin-Cdh2-Ctnnb1-Ctnnd1 complex","CORUM","Mus musculus","17925400","FBgn0260799 FBgn0000117 "
"FC1066",3,1,37,0,41,0.024390243902439,41,"Literature","ATP-binding cassette (ABC) transporter complex","ATP-binding cassette (ABC) transporter complex",NA,"","ATP-binding cassette (ABC) transporter complex","Gene Ontology","Fly","19295159","FBgn0038376 FBgn0031449 FBgn0031362 FBgn0031170 FBgn0039244 FBgn0039890 FBgn0003515 FBgn0031069 FBgn0031515 FBgn0039594 FBgn0025683 FBgn0034493 FBgn0051792 FBgn0031171 FBgn0036747 FBgn0052091 FBgn0003996 FBgn0000241 FBgn0051793 FBgn0039207 FBgn0031516 FBgn0031169 FBgn0032026 FBgn0004513 FBgn0035244 FBgn0010549 FBgn0030321 FBgn0038740 FBgn0051121 FBgn0032908 FBgn0083956 FBgn0036888 FBgn0032167 FBgn0031734 FBgn0028539 FBgn0034612 FBgn0030672 FBgn0020762 FBgn0020445 FBgn0053970 FBgn0031220 "
"FC1067",0,0,18,0,18,0,18,"Literature","RSCa","RSCa;RSC",NA,"conventional","RSC","PINdb","Yeast","11336698,12417720,14729968,11931764,10619019,9844636,9154831,8980231,16204215,11304548","FBgn0002783 FBgn0001218 FBgn0025463 FBgn0001217 FBgn0000212 FBgn0039227 FBgn0013277 FBgn0001230 FBgn0035878 FBgn0013278 FBgn0011745 FBgn0013279 FBgn0051354 FBgn0001216 FBgn0011715 FBgn0013276 FBgn0001219 FBgn0013275 "
"FC1068",0,0,4,0,4,0,4,"Literature","Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)","Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)",NA,"MI:0096- pull down | MI:0416- fluorescence microscopy","Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)","CORUM","Human","12925766","FBgn0024227 FBgn0259784 FBgn0260991 FBgn0000147 "
"FC1069",0,0,10,0,10,0,10,"Literature","TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)","TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NA,"MI:0676- tandem affinity purification","TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)","CORUM","Human","14743216","FBgn0000250 FBgn0029688 FBgn0011274 FBgn0260632 FBgn0041205 FBgn0024889 FBgn0027338 FBgn0014018 FBgn0024222 FBgn0035657 "
"FC1070",0,0,7,0,7,0,7,"Literature","CFTR-NHERF-beta(2)AR signaling complex","CFTR-NHERF-beta(2)AR signaling complex",NA,"MI:0096- pull down | MI:0006- anti bait coimmunoprecipitation","CFTR-NHERF-beta(2)AR signaling complex","CORUM","Human","12502786","FBgn0039747 FBgn0010620 FBgn0025701 FBgn0038542 FBgn0038980 FBgn0038063 FBgn0038541 "
"FC1071",0,0,2,0,2,0,2,"Literature","FANCM/FAAP24/hCLK2","FANCM/FAAP24/hCLK2",NA,"FLAG-tagged HCLK2","FANCM/FAAP24/hCLK2","PINdb","Human","18995830","FBgn0038889 FBgn0261279 "
"FC1072",0,0,6,0,6,0,6,"Literature","rhabdomere development","rhabdomere development;compound eye photoreceptor development;eye photoreceptor cell development;photoreceptor cell development;neuron development",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster71","Additional publication","Fly","22036573","FBgn0015380 FBgn0260817 FBgn0261014 FBgn0051953 FBgn0033179 FBgn0034372 "
